id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1597397942,5.64,5193661236,38,16945092104.0,792652839,5.9,5.48,-0.198235500056,-3.39523,-187749702.92254925,-3.48886,919498319.2233225,3000000000.0,3000000000.0,8.4,-32.53406,2021-11-25T06:04:40.957Z,0.02897764,19449.47693,2020-11-04T15:59:14.441Z,,2022-01-04T08:39:56.367Z,0.3489347801436186,-3.395225151737847,,,
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,35.05,5080163745,39,69091670880.0,318258888,35.64,34.33,-0.166297646951,-0.47228,-18079749.490555763,-0.35463,144916275.0,1970902530.0,1970902530.0,236.84,-85.20203,2021-04-01T13:29:41.564Z,20.06,74.71711,2020-12-29T22:32:28.483Z,,2022-01-04T08:37:57.277Z,0.05161360592776358,-0.4722758281695605,,,
elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589,236.44,4804903605,40,,117764449,244.51,230.88,-4.013390448253,-1.6691,-95008110.84008789,-1.93898,20324887.0,20397843.0,,545.64,-56.64594,2021-11-23T10:33:26.737Z,6.51,3535.61069,2020-10-07T01:44:53.554Z,,2022-01-04T08:39:56.452Z,-0.0002561161283819327,-1.6690991675450955,,,
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,4.71,4714251583,41,,142735030,4.87,4.59,-0.096613956922,-2.00808,-103092654.60130978,-2.14003,1000000000.0,1000000000.0,,15.72,-70.00501,2021-04-16T13:15:11.190Z,0.04039979,11571.16994,2020-03-13T02:24:16.483Z,,2022-01-04T08:37:50.419Z,0.5473264755085279,-2.008077279361394,30.431019439055493,usd,3043.1019439055494
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,34.68,4580704427,42,7308228739.0,246106676,35.48,34.22,-0.469282905787,-1.3351,-66089585.90211773,-1.42226,132064068.780279,210700000.0,210700000.0,167.09,-79.17714,2021-05-06T18:34:22.133Z,0.615038,5556.87962,2016-07-25T00:00:00.000Z,,2022-01-04T08:38:29.931Z,-0.13069696759123461,-1.3351049905120669,76.06717858360658,usd,7606.717858360657
magic-internet-money,mim,Magic Internet Money,https://assets.coingecko.com/coins/images/16786/large/mimlogopng.png?1624979612,1.0,4576342922,43,,366512912,1.02,0.993841,-0.001664444244,-0.16589,1443220.0,0.03155,4569748141.24997,4569748141.24997,,1.04,-3.60568,2021-10-06T13:25:17.751Z,0.919196,9.17343,2021-12-04T05:29:56.806Z,,2022-01-04T08:39:03.039Z,-0.2644964832514237,-0.16589253897127257,,,
tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,5.1,4471232495,44,,476358025,5.13,4.57,0.525056,11.46811,467077252.0,11.66481,872102038.797104,,,9.12,-43.86416,2021-10-04T00:41:18.025Z,0.350476,1360.12259,2018-12-07T00:00:00.000Z,,2022-01-04T08:37:23.718Z,2.331693796617104,11.46811189792436,9.858417496849517,usd,985.8417496849517
decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,3.24,4306151717,45,7117279722.0,331980504,3.34,3.17,-0.070282575701,-2.12162,-103296164.59877014,-2.34261,1327372145.9864838,2193902927.32015,2193902927.32015,5.85,-44.42072,2021-11-25T10:04:18.534Z,0.00923681,35105.27989,2017-10-31T00:00:00.000Z,,2022-01-04T08:39:36.243Z,0.3324438420231054,-2.121620621267442,161.12004491296096,usd,16112.004491296095
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,227.59,4104869522,46,,163069290,237.45,223.67,-8.703095471589,-3.68324,-164669181.35248518,-3.85684,18057306.5505891,,,542.33,-58.094,2018-01-09T00:00:00.000Z,0.216177,105030.18039,2015-01-14T00:00:00.000Z,,2022-01-04T08:39:26.257Z,0.3673366445950105,-3.6832442421059195,,,
helium,hnt,Helium,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,39.79,4007211364,47,8888142082.0,29703818,41.77,38.66,-1.127675846352,-2.75605,-109693916.10801506,-2.66448,100539361.984279,223000000.0,223000000.0,54.88,-27.2344,2021-11-12T23:08:25.301Z,0.113248,35160.42781,2020-04-18T00:19:10.902Z,,2022-01-04T08:38:06.169Z,1.270791319633178,-2.7560456132135926,,,
iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.36,3801997606,48,,62364545,1.41,1.35,-0.005060877178,-0.37044,61658.0,0.00162,2779530283.277761,2779530283.0,,5.25,-73.89086,2017-12-19T00:00:00.000Z,0.081637,1578.65668,2020-03-13T02:22:41.168Z,,2022-01-04T08:38:12.537Z,-0.2492133680732359,-0.37043722699651155,20.792106036021014,btc,2079.2106036021014
harmony,one,Harmony,https://assets.coingecko.com/coins/images/4344/large/Y88JAze.png?1565065793,0.31666,3667824300,49,4168767910.0,340502476,0.316871,0.282734,0.02813006,9.74944,330971707.0,9.91868,11575137304.1007,13156044839.793139,13156044839.793139,0.37902,-16.74651,2021-10-26T09:28:49.782Z,0.00127355,24676.97336,2020-03-13T02:24:14.005Z,,2022-01-04T08:38:53.532Z,2.406226779517335,9.749443074640087,98.73543091136494,usd,9873.543091136495
klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.39,3586451962,50,,51156314,1.48,1.36,-0.045477993825,-3.1681,-86009219.08977747,-2.342,2558975121.2,,,4.34,-67.69742,2021-03-30T03:44:28.828Z,0.06044,2218.97812,2020-04-29T08:19:34.574Z,,2022-01-04T08:36:49.798Z,-0.7361497661777555,-3.1680975228265984,,,
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,3.77,3538161779,51,,771888,3.82,3.75,-0.00698649592,-0.18495,-10529392.607016087,-0.29671,938650250.9,985239504.0,,3.95,-4.42493,2021-05-14T13:54:31.192Z,0.799859,371.40273,2019-12-24T15:14:35.376Z,,2022-01-04T08:39:51.874Z,-0.023131015590832124,-0.18494740118170963,,,
aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,262.77,3537852360,52,4203429736.0,512038257,285.36,254.48,-14.310524637197,-5.16472,-196705180.12093163,-5.26716,13466535.974972747,16000000.0,16000000.0,661.69,-60.28863,2021-05-18T21:19:59.514Z,26.02,909.74033,2020-11-05T09:20:11.928Z,,2022-01-04T08:38:33.340Z,0.7456566244391712,-5.164724226530394,,,
cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02177783,3497521119,53,,9967892,0.02194489,0.02154325,-3.9948865e-05,-0.1831,-18143174.87762165,-0.51607,160552213142.949,160552213142.949,,0.03159087,-30.96356,2020-10-12T21:29:00.007Z,0.00728854,199.22588,2020-03-18T04:29:40.819Z,,2022-01-04T08:36:57.291Z,-0.16627514668585944,-0.18310231845747083,,,
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.663445,3485977820,54,6635102085.0,132183761,0.694032,0.642097,-0.020060706564,-2.93497,-112780104.56623411,-3.13386,5253842029.0,10000000000.0,10000000000.0,2.84,-76.58965,2021-02-12T07:28:45.775Z,0.103254,544.24047,2020-12-17T21:28:41.332Z,,2022-01-04T08:39:36.892Z,0.2185702586537994,-2.934971453916468,,,
gala,gala,Gala,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1600233435,0.430824,3254751435,55,21576088263.0,413070749,0.457802,0.426201,-0.02168639304,-4.79246,-160662873.63140774,-4.70405,7542496572.319239,36494969523.3567,50000000000.0,0.824837,-47.64566,2021-11-26T01:03:48.731Z,0.00013475,320374.83034,2020-12-28T08:46:48.367Z,,2022-01-04T08:37:44.751Z,-0.7434187785845705,-4.792457787233967,,,
arweave,ar,Arweave,https://assets.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1591059616,63.17,3166175902,56,4170302467.0,69800627,63.19,57.51,4.02,6.7884,203657139.0,6.87446,50108502.0,64598643.0,66000000.0,89.24,-29.25562,2021-11-05T04:14:42.689Z,0.298788,21028.32417,2020-01-31T06:47:36.543Z,,2022-01-04T08:38:53.081Z,1.0229367370879325,6.788400775712808,84.36947658194501,usd,8436.947658194502
eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,3.21,3143927350,57,,407183604,3.24,3.14,-0.000645904046,-0.02012,-5805564.110196114,-0.18432,979647510.5433,,,22.71,-85.84168,2018-04-29T07:50:33.540Z,0.5024,540.03465,2017-10-23T00:00:00.000Z,,2022-01-04T08:39:26.176Z,0.1749394897047896,-0.020120435613198318,2.2419628984505273,usd,224.19628984505272
pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,12.01,3061868889,58,,91748079,12.48,11.9,-0.256797180141,-2.09273,-66176348.40266609,-2.11558,255120769.885895,,,43.96,-72.6738,2021-04-30T10:08:22.934Z,0.194441,6078.67816,2020-11-03T14:29:34.165Z,,2022-01-04T08:39:05.282Z,0.0313815753388523,-2.092727597513035,,,
compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02242542,2971459996,59,,12391353,0.02258888,0.02220746,-3.6774117e-05,-0.16372,343044.0,0.01155,132496789505.5,132496789505.5,,0.058843,-61.86365,2020-10-21T11:24:27.820Z,0.00620705,261.5359,2021-03-04T08:11:37.438Z,,2022-01-04T08:38:09.408Z,-0.13293102178995297,-0.16371562633877482,,,
flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,8.94,2833835702,60,,46135447,9.27,8.8,-0.309631883771,-3.34775,-103904927.38146257,-3.5369,316835587.0,1393082413.50733,,42.4,-78.84463,2021-04-05T13:49:10.098Z,4.95,81.19742,2021-01-27T15:34:04.000Z,,2022-01-04T08:38:25.844Z,0.05851421038469352,-3.3477539647059587,,,
kusama,ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,293.06,2634231614,61,2933410740.0,69799532,296.9,283.63,2.99,1.03204,26594225.0,1.01986,8980098.074112339,10000000.0,10000000.0,621.71,-52.89625,2021-05-18T05:04:41.858Z,0.876572,33308.12728,2020-01-14T19:20:20.768Z,,2022-01-04T08:37:49.020Z,0.9466596233320632,1.032036766076907,,,
enjincoin,enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,2.76,2581113973,62,2762497754.0,213366772,2.92,2.7,-0.155714666188,-5.33565,-154090255.52235126,-5.63359,934340659.567558,1000000000.0,1000000000.0,4.82,-42.57894,2021-11-25T09:53:41.955Z,0.01865964,14730.46963,2017-11-12T00:00:00.000Z,,2022-01-04T08:38:19.733Z,0.8253136015609062,-5.33565291683055,,,
