id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,424.56,8036035289,26,8908906676.0,1706606476.0,437.3,423.76,-8.759901273219,-2.02156,-195025369.70809174,-2.36938,18942474.8966526,21000000.0,21000000.0,3785.82,-88.78352,2017-12-20T00:00:00.000Z,76.93,451.94214,2018-12-16T00:00:00.000Z,,2021-12-31T08:16:37.805Z,-0.5260549888495735,-2.0215591849547634,,,
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.076704,7799078464,27,,1056376604.0,0.078799,0.076176,-0.001056550863,-1.35872,-145007714.59083462,-1.82535,101856008874.076,101900409184.273,,0.231673,-67.00508,2018-01-05T00:00:00.000Z,0.00180434,4136.46194,2017-11-12T00:00:00.000Z,,2021-12-31T08:16:13.505Z,0.376726781723086,-1.358722116920312,39.3705673825479,usd,3937.0567382547893
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,29.49,7735013001,28,,264070340.0,29.94,28.34,0.895101,3.13063,191541923.0,2.53917,262680011.32,300000000.0,,44.01,-33.22474,2021-05-03T01:03:16.108Z,0.580608,4961.01477,2019-01-14T00:00:00.000Z,,2021-12-31T08:14:40.314Z,0.31760526225171803,3.130632909894535,,,
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.269135,6655951471,29,13452828206.0,279823510.0,0.276643,0.2665,-0.001894150907,-0.69887,-68541371.12845135,-1.01928,24739003963.2106,50001802407.1399,50001802407.1399,0.875563,-69.37692,2018-01-03T00:00:00.000Z,0.00047612,56214.04967,2015-03-05T00:00:00.000Z,,2021-12-31T08:16:43.378Z,0.4498381250162796,-0.6988746053760486,,,
axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,95.43,6485413418,30,25794464602.0,147495111.0,96.99,93.8,-0.463144944442,-0.48296,-39417168.375561714,-0.60411,67885170.31881255,270000000.0,270000000.0,164.9,-42.22511,2021-11-06T19:29:29.482Z,0.123718,76905.2537,2020-11-06T08:05:43.662Z,,2021-12-31T08:14:50.893Z,0.2862421242355286,-0.48295911385280244,,,
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,3707.99,6029538836,31,6029538836.0,25657808.0,3752.38,3674.62,-1.644371260333,-0.04433,-1328243.02339077,-0.02202,1627352.88775928,1627352.88775928,1627352.88775928,4829.57,-23.41444,2021-11-10T14:40:47.256Z,482.9,665.95213,2020-12-22T04:08:21.854Z,,2021-12-31T08:14:36.832Z,-0.2935467044954999,-0.04432705442793223,,,
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.084424,5631569180,32,,247055799.0,0.086807,0.083636,-0.000576429747,-0.67815,-67590143.64628983,-1.18597,66760741299.0,86712634466.0,,0.280991,-70.06344,2021-04-19T01:08:21.675Z,0.00191713,4287.75209,2020-03-13T02:29:59.652Z,,2021-12-31T08:14:51.488Z,-0.12939969013145708,-0.6781496971495264,6.92401058288814,eth,692.401058288814
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,0.303904,5612720734,33,,95125370.0,0.307178,0.288474,0.01284958,4.41485,212434025.0,3.93375,18481144866.0,50000000000.0,,0.569229,-47.00347,2021-09-15T10:40:28.318Z,0.00986111,2959.20497,2020-01-02T17:30:24.852Z,,2021-12-31T08:16:36.958Z,0.5790630060083051,4.41484605192728,,,
the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1597397942,6.02,5523263774,34,18020469397.0,982508192.0,6.09,5.82,0.082576,1.3911,68886099.0,1.26295,919498319.2233225,3000000000.0,3000000000.0,8.4,-28.52587,2021-11-25T06:04:40.957Z,0.02897764,20610.92212,2020-11-04T15:59:14.441Z,,2021-12-31T08:15:01.776Z,0.17872728342676356,1.3910956688433456,,,
ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,39.25,5447412580,35,13127926810.0,104621953.0,40.49,38.8,-1.014991056889,-2.52054,-151026046.15922356,-2.69765,138920527.11874422,334789863.185972,334789863.185972,84.18,-53.45953,2021-09-09T16:59:43.151Z,1.15,3307.69708,2019-09-06T00:00:00.000Z,,2021-12-31T08:15:06.524Z,0.29020495463357526,-2.520542651120297,,,
