id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency
harmony,one,Harmony,https://assets.coingecko.com/coins/images/4344/large/Y88JAze.png?1565065793,0.22501,2573154569,61,2947496363.0,91924257.0,0.240935,0.21837,-0.015267714542,-6.3542,-216243582.47715425,-7.75234,11485183597.1007,13156044839.793139,13156044839.793139,0.37902,-40.5733,2021-10-26T09:28:49.782Z,0.00127355,17585.91098,2020-03-13T02:24:14.005Z,"{'times': 69.8691764501451, 'currency': 'usd', 'percentage': 6986.9176450145105}",2021-12-30T10:23:11.541Z,-0.0029563784812947675
kusama,ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,282.32,2520435180,62,2806690038.0,77153926.0,302.16,278.08,-17.351968017457,-5.7904,-203189858.7477727,-7.46027,8980098.074112339,10000000.0,10000000.0,621.71,-54.56968,2021-05-18T05:04:41.858Z,0.876572,32121.25386,2020-01-14T19:20:20.768Z,,2021-12-30T10:22:11.950Z,0.11448468999246147
loopring,lrc,Loopring,https://assets.coingecko.com/coins/images/913/large/LRC.png?1572852344,2.02,2511896004,63,2770994866.0,276990066.0,2.08,1.94,-0.059015980495,-2.83912,-100965145.19847059,-3.86416,1245991468.94246,1373873440.44246,1374513896.0,3.75,-46.0501,2021-11-10T14:59:53.164Z,0.01963893,10201.14922,2019-12-18T13:14:41.553Z,"{'times': 32.66090754076048, 'currency': 'usd', 'percentage': 3266.090754076048}",2021-12-30T10:24:10.160Z,-0.197733059526032
enjincoin,enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,2.66,2473045247,64,2646834665.0,221763020.0,2.78,2.57,-0.111423289226,-4.02076,-137533856.55086517,-5.26833,934340659.567558,1000000000.0,1000000000.0,4.82,-44.83563,2021-11-25T09:53:41.955Z,0.01865964,14147.61957,2017-11-12T00:00:00.000Z,,2021-12-30T10:21:19.309Z,0.13770170701201645
radix,xrd,Radix,https://assets.coingecko.com/coins/images/4374/large/Radix.png?1629701658,0.252149,2442403499,65,6024597047.0,1454301.0,0.292092,0.245435,-0.030879947203,-10.91052,-323959990.05753994,-11.71068,9729726905.5413,12129703860.0571,24000000000.0,0.651264,-61.28309,2021-11-14T16:09:27.130Z,0.086235,192.39677,2021-09-13T04:50:07.104Z,,2021-12-30T10:18:39.711Z,1.5976029888941103
quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,178.39,2382310162,66,2595170070.0,33655758.0,189.6,172.44,-8.866612394943,-4.7351,-142764815.4072423,-5.65388,13413953.469289193,14612493.0,14612493.0,427.42,-58.26028,2021-09-11T09:15:00.668Z,0.215773,82581.63771,2018-08-23T00:00:00.000Z,"{'times': 19.702745035089762, 'currency': 'eth', 'percentage': 1970.2745035089763}",2021-12-30T10:20:57.003Z,-0.18670199785920438
blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,2.25,2361908430,67,,121257034.0,2.29,2.15,-0.000134845593,-0.00599,-25992429.206609726,-1.08851,1052561461.68777,1818000000.0,,3.39,-33.6716,2021-12-01T01:32:34.725Z,0.04559639,4830.85377,2020-03-13T02:29:26.415Z,"{'times': 17.753910705798667, 'currency': 'usd', 'percentage': 1775.3910705798667}",2021-12-30T10:23:49.311Z,-0.3518187500510957
amp-token,amp,Amp,https://assets.coingecko.com/coins/images/12409/large/amp-200x200.png?1599625397,0.04906896,2340792701,68,4837461659.0,20337504.0,0.051608,0.04872113,-0.002214620677,-4.31838,-106113609.31118155,-4.33664,48013928909.1577,99441574895.8501,99225164238.50153,0.120813,-59.37324,2021-06-16T16:03:41.147Z,0.00250501,1859.36177,2020-11-04T13:18:12.191Z,,2021-12-30T10:23:29.723Z,0.124362543449021
bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,122.05,2303919744,69,,103808635.0,127.63,120.48,-5.182695979009,-4.0735,-117826933.71021748,-4.86537,18937814.144239,21000000.0,,489.75,-75.06474,2021-04-16T17:09:04.630Z,42.02,190.64373,2018-11-23T00:00:00.000Z,,2021-12-30T10:24:03.319Z,0.045371342508212904
olympus,ohm,Olympus,https://assets.coingecko.com/coins/images/14483/large/token_OHM_%281%29.png?1628311611,324.99,2272793532,70,2534760546.0,47459119.0,355.61,324.86,-29.945605471361,-8.43684,-198818630.53012705,-8.04409,6994427.849747734,7800620.47306781,7800620.47306781,1415.26,-77.03643,2021-04-25T00:00:00.000Z,162.79,99.6409,2021-05-23T22:25:07.703Z,,2021-12-30T10:20:37.313Z,-0.18333227701901353
